cellid,time,type,Layer
4409,1347.3,inh,0
4979,1347.9,inh,0
4909,1348.0,inh,0
4689,1349.5,inh,0
4839,1350.0,inh,0
4819,1351.4,inh,0
4939,1354.5,inh,0
4569,1357.3,inh,0
4559,1358.2,inh,0
4249,1358.9,inh,0
4309,1360.3,inh,0
4169,1360.4,inh,0
4589,1360.6,inh,0
5259,1360.8,inh,0
4159,1361.0,inh,0
4989,1361.0,inh,0
5239,1361.9,inh,0
4789,1363.2,inh,0
5209,1363.3,inh,0
5039,1365.3,inh,0
4179,1367.2,inh,0
4829,1367.4,inh,0
4679,1368.0,inh,0
5169,1370.9,inh,0
4319,1371.0,inh,0
4359,1371.2,inh,0
4299,1371.4,inh,0
4639,1371.7,inh,0
4649,1371.9,inh,0
5269,1372.6,inh,0
4159,1373.3,inh,0
4689,1373.8,inh,0
4579,1373.9,inh,0
4669,1373.9,inh,0
5249,1374.0,inh,0
4279,1374.3,inh,0
4909,1376.1,inh,0
4529,1377.4,inh,0
4989,1380.6,inh,0
5259,1380.9,inh,0
4919,1382.5,inh,0
4169,1383.0,inh,0
4679,1383.0,inh,0
4259,1383.7,inh,0
4789,1384.0,inh,0
5219,1384.0,inh,0
4819,1384.1,inh,0
4699,1385.0,inh,0
5269,1385.4,inh,0
4779,1385.6,inh,0
4249,1385.9,inh,0
4589,1386.9,inh,0
4579,1387.4,inh,0
5259,1394.7,inh,0
4679,1394.8,inh,0
5279,1394.8,inh,0
4259,1396.0,inh,0
4169,1396.6,inh,0
4309,1397.1,inh,0
4469,1397.6,inh,0
4689,1397.6,inh,0
4909,1397.9,inh,0
4649,1399.3,inh,0
4249,1399.5,inh,0
5139,1403.3,inh,0
4529,1405.7,inh,0
